<<<<<<< HEAD
-6.42140161314448e+63 119.08126444580449
-1.473370905904334e+64 126.92051610531834
-3.3806043557869497e+64 130.86062735267302
-7.756693012307757e+64 134.41202058816503
-1.779749422146688e+65 133.11485941524825
-4.0835804647747404e+65 138.02600275266448
-9.36965013432968e+65 145.1488477218358
-2.1498374869071402e+66 152.05631751669247
-4.932736178886e+66 151.34113364374312
-1.1318011877026052e+67 157.69738481501855
-2.5968831132061894e+67 166.33639179222104
-5.958468657683974e+67 169.29209818532215
-1.367152359074366e+68 172.5006094151504
-3.136889157774166e+68 175.73497366716973
-7.197495965133953e+68 183.42379974183922
-1.6514433747119688e+69 186.15959335676152
-3.7891861740408756e+69 191.6144628812457
-8.694171463218787e+69 201.07717291416648
-1.9948509774920466e+70 204.1654332813964
-4.577124386419331e+70 207.2056505092522
-1.0502071525710276e+71 214.74234058700665
-2.4096681020595296e+71 221.69535784046283
-5.528909556431982e+71 231.946596461355
-1.2685913407360076e+72 236.8617315366236
-2.9107439240314504e+72 241.22164600639888
-6.678612662112684e+72 244.59265748359982
-1.5323871922320958e+73 263.34520724815127
-3.516015414755529e+73 271.77783250785626
-8.067389534097653e+73 273.8773587426783
-1.8510377861751665e+74 284.1474234967381
-4.2471494296469493e+74 285.78362425562085
-9.744954107621559e+74 301.70546507997364
-2.2359498325337785e+75 305.84040352914394
-5.130318314888451e+75 318.5153769415048
-1.1771358028303284e+76 323.3678493423303
-2.700901997218724e+76 335.8076143418283
-6.197136796825108e+76 344.6102655546832
-1.4219140316128132e+77 345.33557511440904
-3.262538135890796e+77 358.8654486858456
-7.485793691808922e+77 371.1374607585164
-1.7175924038977099e+78 384.66015436936766
-3.940963092738165e+78 389.3495621059984
-9.042418948220566e+78 402.1401379512734
-2.074755294861899e+79 410.32040147582035
-4.760462391984811e+79 427.60953819001
-1.0922734956562764e+80 453.79290603610264
-2.506188036107456e+80 462.5336863627104
-5.750371584869698e+80 464.08948863966503
-1.3194051239441422e+81 478.5717453478819
-3.027334591160171e+81 499.40717115698794
-6.946126372041371e+81 519.3433616683055
-1.5937673925193114e+82 511.48065985322927
-3.656850401803597e+82 534.5372327491591
-8.39053109251581e+82 549.0384551415855
-1.9251816256894735e+83 567.4317189594714
-4.4172701954448787e+83 582.9601204859257
-1.0135290987195882e+84 615.0724042470138
-2.325511432401485e+84 607.1531193513325
-5.335814658959518e+84 641.5382411376365
-1.2242863087267743e+85 647.3124123158636
-2.8090873869073086e+85 680.0713392654105
-6.445364855454551e+85 683.363975749267
-1.4788691983578882e+86 722.5420515382347
-3.3932200191907737e+86 739.538838003057
-7.785639265069503e+86 765.1659261827753
-1.7863910510656465e+87 759.1304243531396
-4.098819478632673e+87 800.204067319053
-9.404615584251067e+87 808.0658316455869
-2.157860202153695e+88 846.8061799176245
-4.951144052965131e+88 869.3228116306835
-1.1360248179537057e+89 893.1107076331707
-2.6065741032799614e+89 892.9063180768967
-5.980704337188705e+89 910.5108196786698
-1.372254267540615e+90 961.0344852882259
-3.1485953302760866e+90 985.186079593972
-7.224355418915076e+90 998.1061858105509
-1.657606194004969e+91 1042.5133287971594
-3.803326573896984e+91 1070.7144696751207
-8.726616177007123e+91 1085.443713506455
-2.0022953175638898e+92 1137.2907619326131
-4.594205196398665e+92 1174.8660623642058
-1.0541262920344925e+93 1157.432490241641
-2.418660447359706e+93 1206.6256658021596
-5.5495422169309065e+93 1245.8158024257186
-1.2733254414077814e+94 1289.8227189461343
-2.9216061728294943e+94 1280.3608428065431
-6.703535758838127e+94 1339.1560068600204
-1.5381057203374145e+95 1397.3962771724441
-3.5291364021077704e+95 1425.1486976919837
-8.097495237160919e+95 1427.481161557719
-1.8579454474098125e+96 1487.3420018538905
-4.262998846494102e+96 1514.0601303880796
-9.781320108480847e+96 1531.9794176585433
-2.24429389989759e+97 1578.8604932531043
-5.149463521544862e+97 1658.2700191422202
-1.1815286117799103e+98 1659.2505840774336
-2.7109811626275058e+98 1741.588123414194
-6.220263132730804e+98 1751.6246937779285
-1.4272202984586487e+99 1761.1898949669242
-3.2747132024270724e+99 1862.0620413566369
-7.513729008571045e+99 1910.9213925693662
-1.7240020766520633e+100 1962.626466231999
-3.955669890290433e+100 1997.2511093948924
-9.076163244151507e+100 2022.976492794663
-2.0824978200705858e+101 2025.92181469104
-4.7782273786153916e+101 2099.592628128033
-1.0963496173540219e+102 2213.941377087408
-2.515540572329595e+102 2244.1770104159727
-5.771830692392127e+102 2312.3468963781324
-1.3243288503507726e+103 2273.6920536671455
-3.038631930391083e+103 2397.5718293515074
-6.972047770420948e+103 2381.5422533592023
-1.5997149778774125e+104 2440.148153421711
-3.670496953997235e+104 2525.7227970035965
-8.421842687988756e+104 2566.025822639779
-1.9323659752390877e+105 2628.62741125803
-4.433754465144785e+105 2698.809567467585
-1.0173113638455082e+106 2768.723264252122
-2.334189723732057e+106 2796.4430557559467
-5.355726732257119e+106 2866.749193918523
-1.2288550728752221e+107 2881.8460366775466
-2.819570276123399e+107 2936.994479701493
